"","pop","dam","Corollawidth","Corollalength","Petallength","color492","nectaramt","nectarconc","Root","fdate"
"374",13,"AM_019",NA,NA,NA,NA,NA,NA,-1.04108867792774,1.32428833079912
"375",13,"AM_019",1.45422912748571,-0.135140500366506,0.286394368452923,-0.715041954007235,-0.587982401096504,0.658433477993577,1.02580300403606,-1.02493559055847
"376",13,"AM_019",0.325028436950384,1.25469468827041,-0.921381825011735,-0.538445936551322,-0.489790246842385,0.744130448511863,-0.00229997722608257,0.863238889711919
"377",13,"AM_019",0.485223020390282,-0.074706360199904,0.193986919606979,-0.585162161342497,-1.07477823535444,-0.413743606477743,-0.867340794690462,0.779967392234304
"378",13,"AM_019",-0.274832887982098,0.285358853009262,0.377495802750669,-0.429163904685293,-1.4497924188937,-0.112517116039556,0.370952832201187,-0.465445501737109
"379",13,"AM_019",NA,NA,NA,NA,NA,NA,-1.74983512251262,1.55250973464911
"380",13,"AM_019",NA,NA,NA,-0.717962826085349,-0.305665139692587,-0.492953416282391,-0.594483732335462,0.989815570457811
"381",13,"AM_020",-0.16700757961518,0.700176086693681,-0.866230804441911,NA,-0.604787586718322,-0.766454044411151,-1.00708012628468,0.967657990371933
"382",13,"AM_020",0.325028436950384,1.45668054176986,1.75744421954418,-0.927622188592607,-0.874059969465548,-1.87151373704496,-0.442367191428648,0.546845913973348
"383",13,"AM_020",-0.686912461661783,0.285358853009262,0.286394368452923,-0.776639787597467,-0.744163889536723,0.57319195966985,0.519478360808316,0.714840078951803
"384",13,"AM_020",0.404574967135285,-0.808406608912139,-0.0914732381778153,-0.987128024652297,-0.261923630720448,-1.83646444125297,-0.843453686402691,0.989815570457811
"385",13,"AM_020",-0.16700757961518,2.08392202193859,0.898672622913879,-0.994755150928295,0.241306649916883,0.0713735946071644,0.655814571263581,-0.465445501737109
"386",13,"AM_020",0.0548964633378763,1.65747962144956,0.377495802750669,-0.918304026408711,-0.47384557181959,0.320211868492624,0.211960360402844,-0.0529515790052551
"387",13,"AM_021",NA,NA,NA,NA,NA,NA,-1.04108867792774,1.53546066312849
"388",13,"AM_021",-0.752787862443909,-0.932576657499134,1.45809461831948,-0.622287542881155,NA,NA,-1.22724792611401,1.36281707982204
