PlantID,Rack,Block,Mom,Site,Site.num,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
AM_044_B_C,14,G,AM_044,72med,8,2.583333333,45.5,11,0.2126,40.66666667,19.66666667,6.86,78
AM_044_B_D,5,G,AM_044,72med,8,2.633333333,41.5,13,0.0935,44.4,18.83333333,5.98,547
AM_044_B_E,39,B,AM_044,72med,8,NA,NA,NA,NA,NA,NA,7.15,697
AM_044_B_G,49,B,AM_044,72med,8,NA,NA,NA,NA,NA,NA,5.4,651
AM_045_1_A,30,G,AM_045,72med,8,2.833333333,41.5,7.833333333,0.0772,24.66666667,21,6.04,292
AM_045_2_E,63,B,AM_045,72med,8,2.583333333,45,9.666666667,0.3371,26.5,20,5.69,320
AM_045_2_H,5,G,AM_045,72med,8,3.166666667,43.66666667,9.333333333,0.1444,18.83333333,18.33333333,5.34,31
AM_045_B_B,75,B,AM_045,72med,8,2.816666667,43,11.16666667,0.1466,33.75,19.5,6.6,352
AM_045_B_D,20,G,AM_045,72med,8,2.966666667,44.33333333,9.666666667,0.1548,27.33333333,19.16666667,7.68,674
AM_045_B_H,18,G,AM_045,72med,8,2.666666667,38,9.666666667,0.0771,19.83333333,20,4.24,78
AM_045_B_J,53,B,AM_045,72med,8,2.9,42,11.66666667,0.208,18,17.5,4.93,31
AM_001_1_B,71,G,AM_001,72high,13,2.79,43.6,9.1,NA,22.5,19.25,5.2,635
AM_001_1_D,71,G,AM_001,72high,13,3.266666667,43.83333333,8.333333333,0.1955,25.75,18.75,5.66,382
AM_001_1_E,90,G,AM_001,72high,13,NA,NA,NA,0.1153,17.66666667,21.5,5.76,102
AM_001_1_F,24,B,AM_001,72high,13,2.791666667,44.16666667,12.08333333,0.2836,27.5,20.91666667,5.8,456
AM_001_1_J,48,B,AM_001,72high,13,2.933333333,40.33333333,10.33333333,0.1614,26.33333333,20.66666667,4.16,221
AM_001_2_B,88,G,AM_001,72high,13,2.683333333,41.66666667,6.333333333,0.1898,41.25,17,6.47,583
AM_001_2_G,48,B,AM_001,72high,13,NA,NA,NA,0.1539,12.25,16.25,5.8,477
AM_001_B_D,88,G,AM_001,72high,13,3,42.33333333,7,0.0955,31,19.33333333,5.57,528
AM_001_B_E,85,B,AM_001,72high,13,NA,NA,NA,NA,NA,NA,7.82,682
AM_002_1_A,22,B,AM_002,72high,13,2.866666667,43.33333333,8,0.2195,15.5,19.66666667,5.18,10
AM_002_3_A,67,G,AM_002,72high,13,3,47.16666667,11.33333333,0.3258,17.33333333,21,5.76,161
AM_002_3_C,22,B,AM_002,72high,13,3.533333333,46.66666667,10.66666667,0.0936,11.66666667,19.33333333,NA,132
AM_002_3_D,34,G,AM_002,72high,13,3,43.16666667,11.5,0.2211,19.66,19.33,5.3,NA
AM_002_3_E,15,G,AM_002,72high,13,NA,NA,NA,0.1474,NA,NA,5.4,638
AM_002_3_H,91,B,AM_002,72high,13,2.5,46.33333333,11,0.0808,22.83333333,20.33333333,6.2,132
AM_002_3_I,91,B,AM_002,72high,13,2.966666667,47.66666667,11.16666667,0.1184,17,22.33333333,4.9,194
AM_002_3_J,91,B,AM_002,72high,13,3.3,45.66666667,10.33333333,0.2121,21.16666667,19.16666667,6.46,320
AM_002_B_A,56,G,AM_002,72high,13,2.583333333,50.83333333,10.83333333,0.2523,11.83333333,20.83333333,5.62,507
AM_002_B_C,67,G,AM_002,72high,13,2.666666667,46.58333333,11,0.0833,NA,NA,NA,43
AM_002_B_D,4,G,AM_002,72high,13,3.2,45.5,11,0.0787,18.33333333,19.5,4.84,124
AM_003_1_A,29,G,AM_003,72high,13,2.966666667,45.16666667,11.33333333,0.0861,13.83333333,19.5,6.94,352
AM_003_2_A,58,B,AM_003,72high,13,3.033333333,46.5,10.16666667,0.2849,20.5,19.75,7.32,507
AM_003_2_B,69,G,AM_003,72high,13,2.95,47,13,0.2767,18,20.66666667,5.85,309
AM_003_2_C,90,G,AM_003,72high,13,NA,NA,NA,0.1726,19.66666667,21.5,5.2,49
AM_003_2_D,35,G,AM_003,72high,13,2.666666667,46.16666667,9.833333333,0.1491,16.75,18.75,6.43,221
AM_003_2_F,81,B,AM_003,72high,13,2.966666667,44.66666667,10,0.2384,20.83333333,20.16666667,4.73,13
AM_003_2_G,63,B,AM_003,72high,13,NA,NA,NA,NA,6.5,20,6.92,528
AM_003_2_I,91,B,AM_003,72high,13,2.8,42.33333333,8.666666667,NA,19.66666667,16.5,5.71,456
AM_003_2_K,75,B,AM_003,72high,13,2.65,56,8,NA,NA,NA,8.03,617
AM_003_2_L,73,B,AM_003,72high,13,NA,NA,NA,0.2856,25.83333333,20.16666667,4.91,281
AM_003_3_A,35,G,AM_003,72high,13,NA,NA,NA,NA,7.833333333,21.83333333,7.25,638
AM_003_3_D,74,B,AM_003,72high,13,3.1,46,10.66666667,0.1273,27.5,17.25,4.96,417
AM_003_B_A,56,G,AM_003,72high,13,3.233333333,43.66666667,11.33333333,0.2638,22.25,18.25,6.04,668
AM_003_B_B,87,G,AM_003,72high,13,2.8,42.16666667,7.5,0.511,24.33333333,17.5,6.9,547
AM_003_B_C,20,G,AM_003,72high,13,NA,NA,NA,NA,NA,NA,8.14,706
AM_003_B_D,89,G,AM_003,72high,13,2.7,42,10.83333333,0.2583,31.5,20,7.86,502
