Pop,Dam,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
4,AM_006,2.666666667,50,10,0.269,22.66666667,19.16666667,5.15,132
4,AM_006,NA,NA,NA,NA,NA,NA,9.5,729
4,AM_006,NA,NA,NA,NA,NA,NA,10.97,744
4,AM_007,2.866666667,40.66666667,10.33333333,NA,15.25,18.75,8.46,593
4,AM_007,2.766666667,44.33333333,12,0.1229,21.83333333,22.16666667,5.61,320
4,AM_007,2.966666667,44.33333333,11.5,0.1602,27.5,20.5,5.46,507
4,AM_007,2.65,42.66666667,11.66666667,0.1505,30.66666667,19.16666667,6.1,20
4,AM_008,NA,NA,NA,NA,NA,NA,NA,142
4,AM_008,3.25,44.5,8.5,0.1493,34.16666667,19.83333333,6.36,587
4,AM_008,2.916666667,47,8.666666667,0.2216,24,19.5,5.19,352
4,AM_008,NA,NA,NA,0.1415,28,19.66666667,4.86,489
4,AM_008,3.133333333,43.66666667,6.5,0.2251,28,18.5,6.17,651
4,AM_010,NA,NA,NA,0.2627,22.25,20.75,6.11,543
4,AM_010,NA,NA,NA,0.2564,8.833333333,21.83333333,5.7,713
4,AM_012,3.2,48.66666667,9.166666667,0.1392,18.5,19.66666667,6.1,292
4,AM_012,NA,NA,NA,NA,NA,NA,8.48,740
4,AM_012,3.033333333,52.66666667,9.666666667,0.15245,25.5,20.5,7.02,424
4,AM_013,3.266666667,40.16666667,9.333333333,0.0973,19.5,18.83333333,NA,36
4,AM_013,3.666666667,44.66666667,9.833333333,0.4111,25.75,19,5.6,112
4,AM_013,NA,NA,NA,0.0964,12.75,19.75,6.77,583
4,AM_013,2.666666667,45.66666667,9.333333333,0.2016,36.33333333,20,5.43,382
4,AM_013,NA,NA,NA,0.1653,20.83333333,18.83333333,5.56,433
4,AM_013,NA,NA,NA,0.1853,28,20,5.9,334
4,AM_013,2.75,44,10,0.1974,23.66666667,17.66666667,5.25,13
4,AM_013,2.416666667,37.33333333,10.66666667,0.0871,24.33333333,18,5.7,246
4,AM_013,2.166666667,45,9.666666667,0.0664,22.5,20,4.85,102
4,AM_013,3.033333333,41.5,11,0.2556,30,17.66666667,5.77,410
4,AM_013,NA,NA,NA,NA,NA,NA,7.14,709
4,AM_014,2.833333333,39.66666667,10.33333333,0.1588,27.5,20.16666667,6.79,309
4,AM_014,NA,NA,NA,NA,15.25,21,6.93,662
4,AM_014,2.416666667,39.5,10.16666667,0.1195,18,18,4.2,334
4,AM_014,2.416666667,43.16666667,10,0.176,13,19,7.63,528
4,AM_015,NA,NA,NA,0.1982,20.16666667,21.83333333,5.08,367
4,AM_015,2.483333333,50,9.333333333,0.1927,23.33333333,20.66666667,4.43,334
4,AM_015,NA,NA,NA,NA,NA,NA,7.91,662
4,AM_015,2.95,44.66666667,9.666666667,0.3001,19.83333333,19.5,5.45,456
4,AM_015,2.816666667,42,10.33333333,0.2035,NA,NA,5.47,507
4,AM_015,NA,NA,NA,0.2122,6.5,20.5,7.04,635
4,AM_016,NA,NA,NA,NA,22.16666667,20,8.33,575
4,AM_016,2.5,50.16666667,10.33333333,0.0693,23.33333333,19.83333333,5.63,433
4,AM_016,3.166666667,43.83333333,9.166666667,0.1823,21.25,21.5,6.29,559
4,AM_016,2.666666667,44,10.66666667,0.0999,21.5,19.16666667,5.81,194
4,AM_016,2.366666667,44,14.33333333,0.0714,16.25,18.5,5.62,553
4,AM_016,NA,NA,NA,0.2804,25.33333333,19.5,5.03,424
4,AM_016,2.5625,50.875,11,0.0974,20.33333333,18,7.37,320
4,AM_016,2.883333333,47.66666667,11.33333333,0.0708,29.83333333,21,5.87,184
4,AM_016,2.35,38.5,9.5,0.3148,28.33333333,18.83333333,4.64,161
4,AM_016,NA,NA,NA,NA,23,19,4.99,489
4,AM_016,NA,NA,NA,NA,NA,NA,9.26,729
4,AM_017,NA,NA,NA,NA,13,19.5,8.75,627
4,AM_017,3,49.5,11.33333333,0.1147,23.83333333,20.16666667,6.47,367
4,AM_017,2.95,42.66666667,9.833333333,0.1675,17.83333333,20,6.14,489
4,AM_017,2.475,45,9.25,NA,17,21.66666667,8.57,646
4,AM_017,2.666666667,50.33333333,10.5,0.1282,19.375,18.75,5.99,433
4,AM_017,2.783333333,52.66666667,11,NA,18,18,5.39,593
4,AM_017,2.833333333,45.66666667,11.66666667,0.0299,13.75,20.75,6.46,610
4,AM_017,NA,NA,NA,0.2153,16.66666667,18,NA,570
4,AM_017,2.5,43.16666667,11,0.2887,17,20.5,6.86,92
4,AM_017,3.166666667,52.66666667,12.66666667,0.3119,20,18.25,7.02,646
4,AM_017,2.916666667,49.16666667,11.33333333,0.2164,46.91666667,20.41666667,6.84,433
4,AM_017,2.866666667,51.66666667,14,0.1555,26.75,18,5.74,638
4,AM_017,3.2,50.16666667,9.5,0.1355,20,17.83333333,4.78,142
4,AM_017,2.583333333,47,11.33333333,0.3531,27.83333333,15.33333333,5.2,78
4,AM_018,2.866666667,50,15.66666667,0.2836,NA,NA,7.15,655
4,AM_018,2.8,46.83333333,13.33333333,0.2208,24.75,15.75,5.73,632
4,AM_018,2.166666667,43.83333333,11.5,0.3456,31,16.5,5.96,67
4,AM_018,2.666666667,42,10,0.1713,24.75,19.25,3.27,161
4,AM_019,NA,NA,NA,NA,NA,NA,11.03,725
4,AM_019,2.8,49.66666667,11.66666667,0.3563,26,19.5,6.21,477
4,AM_019,2.366666667,42.66666667,9.833333333,0.1952,NA,NA,6.19,467
4,AM_019,NA,NA,NA,NA,NA,NA,8.72,746
4,AM_019,NA,NA,NA,NA,NA,NA,9.12,749
4,AM_019,NA,NA,NA,NA,NA,NA,7.64,686
4,AM_019,2.366666667,41,11,0.1274,17.66666667,21.16666667,4.9,142
4,AM_019,2.8,48.83333333,9,0.1831,18.66666667,21.33333333,6.06,559
4,AM_019,2.733333333,41.33333333,10.83333333,0.1669,13.33333333,19,7.34,537
4,AM_019,3.066666667,43.33333333,11.16666667,0.2255,10.625,19.625,5.6,246
4,AM_019,NA,NA,NA,NA,NA,NA,9.05,752
4,AM_019,NA,NA,NA,0.1266,20.66666667,18.83333333,6.9,593
4,AM_020,3.016666667,45.66666667,9.083333333,NA,17.5,18.25,7.58,587
4,AM_020,2.8,50,14,0.0782,15,15.75,6.67,477
4,AM_020,3.266666667,43.33333333,11,0.1113,16.16666667,21,5.43,520
4,AM_020,2.766666667,37.33333333,10.33333333,0.0674,21.16666667,15.83333333,7.3,593
4,AM_020,3.016666667,53.66666667,12.16666667,0.0661,27.66666667,20,5.28,246
4,AM_020,2.916666667,51.16666667,11.16666667,0.08,18.83333333,20.5,5.79,334
4,AM_021,NA,NA,NA,NA,NA,NA,7.64,747
4,AM_021,3.3,36.66666667,13.33333333,0.1548,NA,NA,7.98,697
4,AM_021,2.666666667,44.5,10.5,0.0513,20.66666667,20.66666667,6.25,281
4,AM_021,3.1,49,11,0.1589,14,22,7.67,553
4,AM_021,2.583333333,40.33333333,10.33333333,0.15,15.83333333,20.5,4.9,456
4,AM_022,2.775,44.66666667,12.41666667,0.6889,21.8,20.9,5.95,161
