"","Dam","Pop","CorollaWidth","CorolLalength","PetalLength","Color","NectarAmt","NectarConc"
"76","AM_167",1,0.566970481124393,0.0860905642915749,-0.0904069254557428,1.23814334408282,-0.437392792988214,0.590401616085497
"77","AM_168",1,1.39916210816101,0.0193918812361823,-0.437874436172738,-0.390651878775323,-0.301030206151564,0.376772469357137
"78","AM_229",7,NA,NA,NA,-0.342053446452707,-0.515444145137706,1.54067069639022
"79","AM_230",7,0.0171482434078429,0.283511047933906,-0.0904069254557428,-0.880138596443711,-0.445115751329782,-1.22730416715511
"80","AM_231",7,0.30667059669331,-1.52802089920921,-0.190285828955798,-0.716962780534277,0.359242160186818,-0.485687321725053
"81","AM_233",7,-0.484355990040914,-0.177209092578663,0.105080324626232,NA,NA,NA
"82","AM_234",7,NA,NA,NA,NA,-0.11858837032708,-0.922538451604967
"83","AM_235",7,NA,NA,NA,NA,NA,NA
"84","AM_236",7,2.0471468429162,-0.111376304496734,0.964630705013522,0.0922917029373633,0.62445833910351,-0.922538451604967
"85","AM_237",7,NA,NA,NA,NA,NA,NA
"86","AM_238",7,-0.415768161679655,-0.151216475422324,-0.534225220938455,-0.554607134670057,0.144893579175493,0.260873683352257
"87","AM_240",7,0.309216807653522,0.217584934577493,-1.80014208677331,-0.502101736522882,0.255140747726442,-0.6595927205213
"88","AM_241",7,-0.257224087723128,0.316249417866109,-0.266949825871198,-0.435147368364303,0.136176730304679,0.196567743970396
"89","AM_242",7,0.349247939402855,1.072749734223,0.660246090033715,-0.502479501193523,0.280647789996625,-0.485687321725053
"90","AM_243",7,-0.652096465167668,0.787695306721363,0.189790394262905,-0.623027088439442,-0.34759445228424,0.394852574270019
"91","AM_244",7,0.012228398561648,0.54645766118314,-0.826595852988986,-0.859128233064778,0.484059486407182,-0.221953515083805
"92","AM_245",7,-0.102582190971587,1.53282843433575,-1.39853299880555,-1.06194068376755,-3.16383752029299,1.45203087732414
"93","AM_246",7,-0.85006800704392,0.995509604123186,-0.805566218036729,-0.654683854409768,-1.33556799373131,0.21610001390807
"94","AM_248",7,-0.557702809559148,-1.29721817039532,-1.39853299880555,NA,0.497957024604996,-1.3144851681704
"95","AM_251",7,0.264405596102353,-0.243047202729004,1.17416895149119,-0.74295616931888,-0.778951098307474,1.18639120070306
"96","AM_252",7,-0.258398333415225,0.480886211349965,-0.712906826644279,-0.880791623670318,0.293898883314171,0.568240153760979
"97","TJ_097",2,-0.579290569643945,0.168327718074832,0.083113391765887,-0.547506341175414,-1.26130810938981,0.921178094024171
"98","TJ_100",2,0.709273841943038,0.0407418840784813,-0.604649385523533,-0.431277028885049,0.0670022228419945,0.0793827919263115
"99","TJ_103",2,1.02847245686741,0.612444980635835,0.00803411538856227,-0.323305619882121,-0.103279719761897,1.18639120070306
"100","TJ_104",2,0.321244524223846,0.223779270619578,-0.0516086867033754,-0.431792092371228,-0.279904032108356,0.463473974350682
"101","TJ_105",2,1.12549359808227,-0.111378943219008,0.998815196156438,-0.232318484656644,0.063502054576296,1.39032634681319
"102","TJ_106",2,1.52920158651669,-0.506453715869312,0.295150826280589,-0.588550295519716,-0.27703340922534,0.217858688486737
"103","TJ_107",2,NA,NA,NA,-0.367625697758481,-0.276707519681536,0.21610001390807
"104","TJ_108",2,1.02847245686741,-0.506498076126172,-0.499011867184571,0.366737847448992,0.228623586939254,-0.791284904085397
"105","TJ_115",2,0.484724846890059,0.238188145991283,0.0543626680295202,-0.561806326440785,0.205549543292475,0.512329423782143
"106","TJ_118",2,-0.258398333415225,-0.0784618911490464,0.295150826280589,-0.49528926386254,0.594830300657794,-0.310560329174932
"107","TJ_120",2,0.0899961239764978,0.577488458855048,-0.140457993838456,-0.077160245608347,0.531800656283427,-0.0645638542972516
"108","TJ_124",9,-2.29285172057147,-2.38599439672715,-0.712906826644279,2.45876470320195,1.65220078156972,2.25142297999393
"109","TJ_125",9,-2.59236772419493,-0.888415707628837,0.428039595562781,2.45876470320195,2.74142195382736,-0.482310358525457
"110","TJ_126",9,-2.13146473013306,-0.901730795369275,1.33738430227916,2.45876470320195,2.1155908722084,-0.135217847342131
"111","TJ_127",9,-2.23527234435195,-1.57761419976953,1.16634551204055,2.45876470320195,NA,NA
"112","TJ_129",9,-2.36131225229307,-1.5163510411071,0.268224275124515,2.45876470320195,2.03940876451854,0.544862403035747
"113","TJ_133",9,-1.7640702783477,-1.72591387745281,0.295150826280589,2.45876470320195,2.78561071383751,0.128192467310955
"114","TJ_134",9,-2.65126774215414,-2.28693770371923,2.2442682192357,2.45876470320195,1.99113558265557,0.128192467310955
"115","TJ_142",9,NA,NA,NA,NA,NA,NA
"116","TJ_143",9,-2.07398737596511,-0.556117711538923,0.748028647516083,2.45876470320195,1.25314141994148,-1.22871290492473
"117","TJ_147",10,0.503042619514954,-0.147739060893434,0.123661231772371,0.882133681189808,0.155509982731575,-1.0671470456273
"118","TJ_148",10,2.07567563226131,-0.539385707514846,-2.16254954064669,0.275253465963236,-1.54656768489298,2.16242290649652
"119","TJ_149",10,1.7962530097061,-0.835836979637665,-0.605115927082119,0.388181155326607,0.206632717852335,0.744610873781513
"120","TJ_150",10,0.39214184396861,0.283511047933906,-0.605115927082119,0.988549432173388,0.172333171689033,0.392068864918784
"121","TJ_151",10,0.264405596102353,-0.506453715869312,-1.2792944598787,1.4274628543562,-0.571275983988665,1.98832645455758
"122","TJ_154",10,0.349247939402855,0.54666803781595,-1.2792944598787,1.82408942431351,-1.07429538018246,-0.660595271953858
"123","TJ_155",10,0.594365533424883,-2.1412195302433,-1.76622678175473,0.69089620899848,-1.70286298711383,0.00859756078715002
"124","TJ_156",10,1.02847245686741,-0.473523110225255,-0.291647704873178,0.829699579515517,-0.681613782809485,-1.70522843898513
"125","TJ_159",10,0.625259099222339,-0.342010743749558,-2.0769027454356,1.13268328260093,-0.297657349555538,-1.00594355734131
"126","TJ_161",10,0.714037860188434,-0.358356140392003,0.562774778181314,1.14853597574268,-0.575674775407985,-0.262276854135385
"127","TJ_162",10,1.12609829500862,-0.358276994790818,-0.136768398330161,1.31529800053965,-0.424785398914805,-0.395850710721562
"128","TJ_163",10,0.349247939402855,1.13848884418895,0.105080324626232,0.74095221584791,0.460782407754882,-0.0474668682532624
"129","TJ_164",10,-0.062950994988469,0.513777738544226,-0.605115927082119,0.019386184561854,-0.643724680090801,0.656400770153815
"130","TJ_165",10,0.984298502642103,-0.232196670845607,-0.295269560497887,0.851339529555955,-0.30300131030251,0.983013867773143
"131","TJ_169",11,-1.77403047603461,-2.65442851577478,0.600933390936445,2.45876470320195,1.77870474583172,1.22729500280357
"132","TJ_170",11,-3.25777786502274,-1.49504435942729,1.57528771594887,2.45876470320195,3.21531809961295,-1.09688248644574
"133","TJ_172",11,-2.39777211926353,-1.62696011045484,3.17394403318624,2.45876470320195,3.20982185061483,-3.7665403685256
"134","TJ_174",11,-1.61579222156648,-2.35297368900632,0.105080324626232,2.45876470320195,1.51532097577915,-1.05012416212596
