pop,dam,Corollawidth,Corollalength,Petallength,color492,nectaramt,nectarconc,Root,fdate,ln_Corollawidth,ln_Corollalength,ln_Petallength,ln_color_adj,ln_nectaramt,ln_nectarconc,ln_Root,ln_fdate
5,TJ_169,3.966666667,28.66666667,10.5,4,51.83333333,22.16666667,5.62,43,1.377926112,3.355735008,2.351375257,-1.098445608,3.948033443,3.098589659,1.726331664,3.295836866
5,TJ_169,3.666666667,30.66666667,14,4,40.5,25.83333333,6.76,575,1.299282984,3.423176288,2.63905733,-1.225611979,3.701301974,3.251665648,1.91102289,6.120297419
5,TJ_169,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,3.988984047
5,TJ_169,3.533333333,27,11,4,75,22.75,5.04,NA,1.262241712,3.295836866,2.397895273,-1.086033506,4.317488114,3.124565145,1.617406082,NA
5,TJ_170,NA,NA,NA,NA,NA,NA,7.72,623,NA,NA,NA,NA,NA,NA,2.043814364,6.514712691
5,TJ_170,4.733333333,35,13.5,4,86.66666667,17.66666667,6.15,212,1.554629676,3.555348061,2.602689685,-1.48058129,4.462069342,2.871679625,1.816452082,4.718498871
5,TJ_172,4.133333333,34.33333333,17.33333333,4,86.5,12.5,8.88,4,1.419084184,3.536116699,2.85263143,-1.075855302,4.460144414,2.525728644,2.183801557,4.189654742
5,TJ_174,NA,NA,NA,4,40,19.5,7.57,587,NA,NA,NA,-1.460705859,3.688879454,2.970414466,2.024193067,6.467698726
5,TJ_174,3.666666667,30.66666667,10.66666667,4,51.25,16,7.83,467,1.299282984,3.423176288,2.367123614,-1.18096003,3.936715618,2.772588722,2.05796251,5.648974238
5,TJ_174,NA,NA,NA,NA,NA,NA,8.26,3,NA,NA,NA,NA,NA,NA,2.111424588,1.098612289
5,TJ_176,3.666666667,32.33333333,16,4,87,19.66666667,5.68,194,1.299282984,3.47609869,2.772588722,-1.128009266,4.465908119,2.978925155,1.736951233,5.866468057
